City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,necochea,-38.5473,-58.7368,12.51,59,71,9.76,AR,1681348763
1,bredasdorp,-34.5322,20.0403,12.84,79,100,2.51,ZA,1681348280
2,atuona,-9.8,-139.0333,27.03,68,100,3.58,PF,1681348284
3,rikitea,-23.1203,-134.9692,25.28,68,48,4.87,PF,1681348764
4,tuktoyaktuk,69.4541,-133.0374,-19.62,85,44,4.76,CA,1681348321
5,umm kaddadah,13.6017,26.6876,22.91,19,70,9.71,SD,1681348764
6,mataura,-46.1927,168.8643,11.38,77,95,3.74,NZ,1681348764
7,port blair,11.6667,92.75,28.25,70,6,1.52,IN,1681348764
8,roald,62.5833,6.1333,9.07,49,58,4.63,NO,1681348764
9,punta arenas,-53.15,-70.9167,4.06,65,0,2.06,CL,1681348109
10,avera,33.194,-82.5271,16.73,41,27,1.46,US,1681348765
11,hualmay,-11.0964,-77.6139,24.11,77,50,4.07,PE,1681348765
12,georgetown,5.4112,100.3354,29.97,70,20,1.03,MY,1681348222
13,albany,42.6001,-73.9662,18.58,54,0,1.72,US,1681348765
14,butaritari,3.0707,172.7902,27.6,73,79,3.23,KI,1681348765
15,dejen,10.1667,38.1333,16.13,61,98,1.15,ET,1681348765
16,souillac,-20.5167,57.5167,23.21,94,20,3.09,MU,1681348765
17,tapes,-30.6733,-51.3958,21.54,85,67,3.37,BR,1681348646
18,kapaa,22.0752,-159.319,27.99,79,75,7.72,US,1681348766
19,hithadhoo,-0.6,73.0833,28.24,69,22,1.5,MV,1681348766
20,bethel,41.3712,-73.414,22.11,40,0,1.54,US,1681348276
21,sinnamary,5.3833,-52.95,25.53,88,100,3.94,GF,1681348766
22,krasnyy chikoy,50.3643,108.7512,-1.39,79,100,5.16,RU,1681348766
23,sola,-13.8833,167.55,28.46,74,91,3.73,VU,1681348767
24,chifeng,42.2683,118.9636,13.2,20,52,5.33,CN,1681348767
25,bluff,-46.6,168.3333,11.56,77,79,9.17,NZ,1681348247
26,port lincoln,-34.7333,135.8667,16.71,61,4,2.18,AU,1681348338
27,kaitangata,-46.2817,169.8464,11.59,90,100,5.08,NZ,1681348767
